id,name
0,"Javascript"
1,"Graphics Programming"
2,"Render Graph"
3,"Game Engine"
4,"Book"
5,"Physically Based Rendering"
6,"Path Tracing"
7,"Ray Marching"
8,"Global Illumination"
9,"Presentation"
10,"Blog"
11,"Course"
12,"OpenGL"
13,"Algorithm"
14,"Computational Geometry"
15,"Resource Collection"
16,"Tool"
17,"Tutorial"
18,"Library"
19,"Rust"
20,"C++"
21,"Physics"
22,"Fluid Simulation"
23,"GUI"
24,"Fun"
25,"Misc"
26,"Off-Topic"
27,"Collision Detection"
28,"Project Ideas"
29,"CAD"
30,"Color Processing"
31,"Hardware"
32,"ASCII Art"
33,"Hardware Description Language"
34,"C"
35,"GPGPU"
